,SB
566,1.3333972219697898e-06
567,2.9890429686929565e-08
568,1.252405945706414e-05
569,1.5772060351082473e-06
570,1.1406494593302341e-07
571,9.526675967208575e-06
572,2.1328415300558845e-07
573,5.636964033328695e-07
574,1.8698061467148364e-05
575,1.0592995636216074e-07
576,2.7851052436744794e-05
577,9.904540831939812e-08
578,6.37250892054908e-08
579,2.9362676286837086e-05
580,1.8942367674412708e-09
581,1.1488909876788966e-05
582,0.0006559876492246985
583,1.037303021256264e-09
584,7.697757973801345e-05
585,2.941080765594961e-06
586,4.1550890728103695e-07
587,5.015534497943008e-06
588,1.5817648090887815e-05
589,4.237846951582469e-06
590,0.010641025379300117
591,3.3160019938804908e-06
592,1.807896296668332e-06
593,1.8399723558104597e-06
594,1.592407983252997e-09
595,3.786529487115331e-05
596,2.0893469354632543e-06
597,0.0011055237846449018
598,6.248878889891785e-06
599,6.048533407465584e-08
600,1.5186374469067232e-07
601,5.809511549159652e-06
602,5.3658325782635075e-08
603,1.808636937994379e-07
604,1.6122057786560617e-05
605,4.144152521146083e-10
606,8.390721632167697e-06
607,1.7527387171867304e-05
608,1.9835546538615745e-08
609,0.00020313991990406066
610,7.910185559012461e-06
611,1.2310558759054402e-06
612,4.635056029655971e-06
613,0.00019671166955959052
614,0.00027392461197450757
615,7.21114012947055e-09
616,2.8755490433240993e-08
617,7.938183999023352e-10
618,8.531243906872987e-07
619,4.434337199654692e-07
620,0.024962255731225014
621,6.209684784153069e-07
622,0.00010314678365830332
623,5.5843134759925306e-05
624,1.2649068459325008e-08
625,0.0026026221457868814
626,1.8700540749705397e-05
627,1.1317291104262495e-08
628,5.6149983720388263e-05
629,2.288482392032165e-05
630,1.5080024695635075e-07
631,1.7226980730811192e-08
632,0.00010615918290568516
633,1.7945551007869653e-05
634,0.006541453767567873
635,5.319956244420609e-07
636,0.009032562375068665
637,8.654525299789384e-05
638,7.653829356968345e-07
639,7.483058794832687e-08
640,0.000557132123503834
641,2.1220650978648337e-06
642,1.0643541159538472e-08
643,1.2285325112770806e-07
644,0.005882602650672197
645,6.6857337444048426e-09
646,2.2989368630987883e-08
647,1.2001553528762088e-08
648,0.0017854073084890842
649,8.727465683477931e-08
650,0.0028636849019676447
651,1.4097911726906887e-10
652,5.089285082249262e-07
653,1.2952020789214203e-08
654,2.3223856260301545e-06
655,0.0002726256789173931
656,5.495369159724817e-10
657,0.00018160093168262392
658,4.792035923628646e-08
659,2.4285156996484147e-06
660,7.119944712030701e-06
