,rank
1651,11
1652,11
1653,12
1654,14
1655,20
1656,3
1657,7
1658,7
1659,9
1660,8
1661,7
1662,6
1663,7
1664,5
1665,5
1666,14
1667,14
1668,9
1669,4
1670,7
1671,15
1672,19
1673,10
1674,10
1675,17
1676,8
1677,7
1678,40
1679,11
1680,10
1681,7
1682,12
1683,13
1684,6
1685,12
1686,10
1687,9
1688,6
1689,11
1690,6
1691,9
1692,7
1693,3
1694,3
1695,13
1696,8
1697,9
1698,5
1699,6
1700,6
1701,16
1702,7
1703,7
1704,9
1705,5
1706,6
1707,12
1708,7
1709,13
1710,6
1711,8
1712,8
1713,15
1714,6
1715,8
1716,8
1717,6
1718,9
1719,6
1720,11
1721,10
1722,3
1723,6
1724,14
1725,5
1726,13
1727,13
1728,8
1729,9
1730,15
1731,4
1732,27
1733,9
1734,9
1735,5
1736,13
1737,7
1738,7
1739,7
1740,9
1741,10
1742,6
1743,7
1744,5
1745,8
1746,12
1747,5
1748,18
1749,9
1750,10
1751,12
1752,3
1753,9
1754,10
1755,4
1756,21
1757,10
1758,7
1759,11
1760,10
1761,5
1762,5
1763,9
1764,12
1765,12
1766,8
1767,7
1768,38
1769,9
1770,11
1771,8
1772,9
1773,7
1774,7
1775,11
1776,21
1777,10
1778,11
1779,6
1780,3
1781,9
1782,5
1783,8
1784,9
1785,3
1786,8
1787,6
1788,6
1789,4
1790,6
1791,6
1792,5
1793,4
1794,7
1795,7
1796,7
1797,8
1798,9
1799,5
1800,3
1801,21
1802,25
1803,19
1804,8
1805,8
1806,14
1807,12
1808,6
1809,4
1810,6
1811,10
1812,12
1813,2
1814,9
1815,16
1816,9
1817,11
1818,5
1819,3
1820,5
1821,7
1822,11
1823,13
1824,7
1825,6
1826,6
1827,11
1828,5
1829,4
1830,22
1831,5
1832,11
1833,10
1834,9
1835,10
1836,10
1837,6
1838,15
1839,7
1840,12
1841,4
1842,18
1843,9
1844,5
1845,5
1846,6
1847,5
1848,7
1849,18
1850,7
1851,5
1852,8
1853,20
1854,5
1855,7
1856,7
1857,19
1858,8
1859,16
1860,10
1861,9
1862,6
1863,8
1864,7
1865,17
1866,4
1867,28
1868,6
1869,5
1870,7
1871,17
1872,9
1873,8
1874,14
1875,8
1876,4
1877,11
1878,9
1879,4
1880,5
1881,9
1882,8
1883,14
1884,5
1885,9
1886,11
1887,3
1888,10
1889,8
1890,9
1891,5
1892,10
1893,10
1894,8
1895,12
1896,3
1897,5
1898,5
1899,5
1900,10
1901,6
1902,7
1903,5
1904,7
1905,11
1906,13
1907,11
1908,4
1909,9
1910,12
1911,7
1912,38
1913,9
1914,9
1915,10
1916,18
1917,8
1918,15
1919,3
1920,4
1921,10
1922,11
1923,8
1924,5
1925,4
1926,14
1927,6
1928,8
1929,4
1930,3
1931,6
1932,8
1933,2
1934,6
1935,5
1936,8
1937,11
1938,6
1939,16
1940,7
1941,7
1942,18
1943,5
1944,6
1945,5
1946,7
1947,6
1948,7
1949,8
1950,5
1951,4
1952,5
1953,5
1954,8
1955,11
1956,9
1957,5
1958,9
1959,3
1960,63
1961,4
1962,5
1963,18
1964,8
1965,12
1966,11
1967,9
1968,6
1969,6
1970,13
1971,3
1972,4
1973,8
1974,14
1975,21
1976,10
1977,5
1978,19
1979,13
1980,6
1981,5
1982,12
1983,5
1984,9
1985,6
1986,6
1987,6
1988,9
1989,7
1990,5
1991,6
1992,4
1993,7
1994,8
1995,13
1996,17
1997,5
1998,6
1999,3
2000,5
2001,8
2002,11
2003,6
2004,13
2005,17
2006,8
2007,6
2008,6
2009,6
2010,5
2011,5
2012,19
2013,10
2014,7
2015,6
2016,4
2017,6
2018,10
2019,7
2020,13
2021,6
2022,11
2023,9
2024,6
2025,5
2026,8
2027,5
2028,10
2029,5
2030,16
2031,7
2032,12
2033,9
2034,8
2035,10
2036,5
2037,6
2038,6
2039,3
2040,4
2041,12
2042,5
2043,16
2044,5
2045,9
2046,8
2047,5
2048,8
2049,7
2050,4
2051,19
2052,5
2053,6
2054,6
2055,5
2056,4
2057,7
2058,13
2059,12
2060,5
2061,30
2062,29
2063,11
2064,5
2065,23
2066,7
2067,7
2068,9
2069,8
2070,9
2071,4
2072,5
2073,9
2074,7
2075,8
2076,7
2077,7
2078,6
2079,17
2080,6
2081,20
2082,9
2083,9
2084,29
2085,5
2086,10
2087,3
2088,4
2089,5
2090,20
2091,13
2092,8
2093,9
2094,5
2095,22
2096,3
2097,8
2098,2
2099,17
2100,8
2101,7
2102,8
2103,5
2104,6
2105,5
2106,9
2107,10
2108,7
2109,9
2110,9
2111,4
2112,10
2113,8
2114,12
2115,7
2116,9
2117,6
2118,5
2119,13
2120,18
2121,6
2122,10
2123,14
2124,6
2125,7
2126,7
2127,9
2128,3
2129,6
2130,3
2131,9
2132,3
2133,5
2134,73
2135,7
2136,4
2137,17
2138,5
2139,6
2140,6
2141,11
2142,12
2143,33
2144,8
2145,7
2146,5
2147,8
2148,14
2149,6
2150,5
2151,11
2152,12
2153,6
2154,4
2155,8
2156,8
2157,5
2158,11
2159,7
2160,12
2161,5
2162,13
2163,16
2164,8
2165,9
2166,5
2167,5
2168,4
2169,10
2170,13
2171,8
2172,7
2173,7
2174,9
2175,17
2176,4
2177,9
2178,17
2179,12
2180,4
2181,5
2182,6
2183,14
2184,5
2185,8
2186,5
2187,10
2188,9
2189,5
2190,5
2191,5
2192,6
2193,13
2194,7
2195,5
2196,7
2197,4
2198,9
2199,11
2200,8
2201,4
2202,7
2203,7
2204,5
2205,10
2206,13
2207,8
2208,10
2209,5
2210,13
2211,15
2212,7
2213,6
2214,4
2215,5
2216,4
2217,12
2218,6
2219,17
2220,8
2221,31
2222,12
2223,6
2224,16
2225,7
2226,6
2227,6
2228,10
2229,7
2230,7
2231,7
2232,3
2233,6
2234,6
2235,11
2236,13
2237,9
2238,5
2239,5
2240,7
2241,5
2242,15
2243,4
2244,5
2245,4
2246,17
2247,5
2248,4
2249,13
2250,4
2251,10
2252,6
2253,7
2254,10
2255,6
2256,5
2257,4
2258,4
2259,5
2260,30
2261,7
2262,6
2263,8
2264,6
2265,7
2266,5
2267,7
2268,14
2269,7
2270,7
2271,3
2272,14
2273,8
2274,7
2275,23
2276,24
2277,8
2278,7
2279,20
2280,12
2281,9
2282,5
2283,9
2284,6
2285,5
2286,4
2287,5
2288,14
2289,9
2290,11
2291,16
2292,11
2293,8
2294,7
2295,5
2296,8
2297,8
2298,7
2299,13
2300,7
2301,9
2302,5
2303,11
2304,11
2305,9
2306,7
2307,7
2308,6
2309,5
2310,5
2311,7
2312,7
2313,6
2314,6
