,rank
2088,6
2089,5
2090,13
2091,4
2092,3
2093,3
2094,4
2095,3
2096,9
2097,7
2098,7
2099,6
2100,6
2101,7
2102,6
2103,6
2104,3
2105,2
2106,7
2107,5
2108,3
2109,9
2110,3
2111,6
2112,9
2113,7
2114,7
2115,5
2116,9
2117,7
2118,8
2119,8
2120,9
2121,6
2122,7
2123,7
2124,7
2125,8
2126,8
2127,3
2128,8
2129,7
2130,5
2131,7
2132,6
2133,5
2134,9
2135,6
2136,4
2137,8
2138,1
2139,8
2140,10
2141,6
2142,5
2143,6
2144,11
2145,8
2146,7
2147,9
2148,6
2149,12
2150,8
2151,7
2152,8
2153,9
2154,8
2155,7
2156,7
2157,7
2158,7
2159,5
2160,5
2161,5
2162,3
2163,5
2164,5
2165,7
2166,5
2167,7
2168,6
2169,6
2170,9
2171,9
2172,7
2173,7
2174,3
2175,5
2176,4
2177,3
2178,8
2179,5
2180,5
2181,11
2182,8
2183,4
2184,5
2185,3
2186,5
2187,7
2188,11
2189,4
2190,8
2191,7
2192,11
2193,12
2194,5
2195,4
2196,4
2197,8
2198,7
2199,6
2200,7
2201,7
2202,8
2203,8
2204,6
2205,9
2206,6
2207,3
2208,7
2209,6
2210,2
2211,5
2212,11
2213,3
2214,4
2215,5
2216,5
2217,7
2218,6
2219,7
2220,8
2221,10
2222,7
2223,4
2224,5
2225,6
2226,5
2227,9
2228,9
2229,4
2230,6
2231,7
2232,7
2233,9
2234,7
2235,5
2236,8
2237,8
2238,5
2239,4
2240,7
2241,8
2242,9
2243,5
2244,7
2245,9
2246,6
2247,5
2248,6
2249,9
2250,5
2251,5
2252,8
2253,7
2254,5
2255,4
2256,3
2257,5
2258,23
2259,7
2260,5
2261,5
2262,7
2263,4
2264,6
2265,4
2266,8
2267,6
2268,6
2269,3
2270,7
2271,8
2272,14
2273,6
2274,3
2275,5
2276,4
2277,7
2278,5
2279,4
2280,7
2281,5
2282,6
2283,1
2284,8
2285,5
2286,7
2287,3
2288,2
2289,9
2290,7
2291,6
2292,11
2293,6
2294,3
2295,8
2296,9
2297,4
2298,6
2299,7
2300,11
2301,9
2302,5
2303,7
2304,7
2305,9
2306,5
2307,3
2308,4
2309,7
2310,9
2311,2
2312,9
2313,7
2314,5
2315,6
2316,6
2317,6
2318,7
2319,3
2320,9
2321,5
2322,11
2323,8
2324,7
2325,9
2326,7
2327,8
2328,4
2329,9
2330,9
2331,4
2332,5
2333,7
2334,10
2335,5
2336,7
2337,7
2338,8
2339,7
2340,5
2341,4
2342,9
2343,7
2344,8
2345,8
2346,5
2347,4
2348,4
2349,8
2350,5
2351,5
2352,7
2353,6
2354,7
2355,8
2356,8
2357,5
2358,6
2359,6
2360,6
2361,6
2362,7
2363,6
2364,5
2365,3
2366,5
2367,12
2368,8
