target_lang,donor_lang,atds
punjabi,hindi-clustered196,0.646
punjabi,hindi-clustered251,0.646
punjabi,hindi-clustered158,0.646
punjabi,hindi-clustered529,0.646
punjabi,hindi-clustered311,0.646
punjabi,hindi-clustered350,0.646
punjabi,hindi-clustered969,0.646
punjabi,hindi-clustered328,0.646
punjabi,hindi-clustered437,0.646
punjabi,hindi-clustered306,0.645
punjabi,hindi-clustered940,0.645
punjabi,hindi-clustered839,0.645
punjabi,hindi-clustered327,0.645
punjabi,hindi-clustered748,0.645
punjabi,hindi-clustered343,0.645
punjabi,hindi-clustered727,0.645
punjabi,hindi-clustered937,0.645
punjabi,hindi-clustered515,0.645
punjabi,hindi-clustered815,0.645
punjabi,hindi-clustered588,0.645
punjabi,hindi-clustered957,0.645
punjabi,hindi-clustered461,0.645
punjabi,hindi-clustered482,0.645
punjabi,hindi-clustered410,0.645
punjabi,hindi-clustered876,0.644
punjabi,hindi-clustered261,0.644
punjabi,hindi-clustered123,0.644
punjabi,hindi-clustered27,0.644
punjabi,hindi-clustered115,0.644
punjabi,hindi-clustered758,0.644
punjabi,hindi-clustered375,0.644
punjabi,hindi-clustered143,0.644
punjabi,hindi-clustered581,0.643
punjabi,hindi-clustered29,0.643
punjabi,hindi-clustered568,0.643
punjabi,hindi-clustered550,0.643
punjabi,hindi-clustered921,0.642
punjabi,hindi-clustered939,0.642
punjabi,hindi-clustered58,0.642
punjabi,hindi-clustered673,0.642
punjabi,hindi-clustered856,0.642
punjabi,hindi-clustered678,0.642
punjabi,hindi-clustered36,0.642
punjabi,hindi-clustered643,0.642
punjabi,hindi-clustered57,0.641
punjabi,hindi-clustered93,0.641
punjabi,hindi-clustered650,0.641
punjabi,hindi-clustered789,0.641
punjabi,hindi-clustered362,0.641
punjabi,hindi-clustered19,0.641
punjabi,hindi-clustered15,0.641
punjabi,hindi-clustered990,0.641
punjabi,hindi-clustered219,0.641
punjabi,hindi-clustered56,0.641
